VIN,Selling Dealership,Vehicle,Floor Price,Orig. Closing Price
1FT8W3BT5BEB71116,Hunter Ford,2011 Ford F-350 Super Duty XLT,"$15,000",$0
WBAEH73474B189310,Carmel Motors,2004 BMW 6-Series 645Ci,"$4,750","$2,800"
14323000000000000,Merchants Auto Group,1994 Chevrolet Crew cab,"$15,000",$0
2T2GGCEZ0RC034070,Merchants Auto Group,2024 Lexus NX 350 Premium,"$43,900","$42,100"
2HKRW2H83JH638954,Merchants Auto Group,2018 Honda CR-V EX-L,"$23,000",$0
2C3CDZFJ8LH169306,Merchants Auto Group,2020 Dodge Challenger R/T SCAT PACK,"$35,500",$0
5YJ3E1EA5PF485737,Merchants Auto Group,2023 Tesla Model 3 Standard Range Plus,"$29,000",$0
1FMJU1KT7FEF07975,Indy Wholesale Direct,2015 Ford Expedition Limited,"$13,000",$0
1N6ED0CF3MN704094,Indy Wholesale Direct,2021 Nissan Frontier SV,"$14,000",$0
1FTFW1R60EFD13561,Bentley Indianapolis,2014 Ford F-150 SVT Raptor,$1,"$15,900"
2HGFC2F6XMH501196,Eriks Chevrolet Inc.,2021 Honda Civic LX,"$19,500",$0
1FTFW1RGXLFA11300,Indy Wholesale Direct,2020 Ford F-150 Raptor,"$37,000",$0
5XYP3DHC3MG133136,Unlimited Motors 2,2021 Kia Telluride EX,"$27,900","$24,700"
1FT7W2BT5GEA61471,Unlimited Motors 2,2016 Ford F-250 Super Duty Lariat,"$39,000",$0
KMUMCDTC6NU015587,Unlimited Motors 2,2022 Genesis GV70 3.5T Sport,"$44,900","$40,800"
5NPEB4AC5BH144956,Andy Mohr Kia,2011 Hyundai SONATA GLS,"$4,800","$4,050"
1FTEW1E53LKE89159,Unlimited Motors 2,2020 Ford F-150 XLT,"$59,800",$0
1FAHP34N17W272270,"Purcell Auto Sales, LLC",2007 Ford Focus ZX4 SE,$900,$150
1GHDT13WXY2241489,Andy Mohr Kia,2000 Oldsmobile Bravada Base,"$1,000",$300
JM1BL1SFXA1235833,Andy Mohr Kia,2010 Mazda Mazda3 i SV,"$1,500",$0
1FMEE5DP7MLA62006,York Ford of Brazil,2021 Ford Bronco Wildtrak Advanced,"$49,200",$0
1GNERGKW1JJ250825,Andy Mohr Kia,2018 Chevrolet Traverse LT Cloth,"$12,500",$0
1FMCU9GX2EUC85868,Andy Mohr Kia,2014 Ford Escape SE,"$3,200",$0
1G1PC5SB9F7280978,Andy Mohr Kia,2015 Chevrolet Cruze 1LT Auto,"$1,500",$650
JN1AZ4FH7DM790123,Trent Family Auto,2013 Nissan 370Z Touring,"$15,000",$0
